year,region,county,town,Akce za zruš.Senátu a proti t.,,ods,ksčm,Str.venkova-spoj.občan.síly,Balbínova poetická strana,Republikáni,Republikáni Miroslava Sládka,Nové hnutí,České sociálně demokrat.hnutí,Humanistická aliance,Cesta změny,Strana zdravého rozumu,Česká strana národně sociální,Česká pravice,Volba pro budoucnost,sz,Strana za životní jistoty,"Koalice KDU-ČSL, US-DEU",Naděje,Národně demokratická strana,Moravská demokratická strana,Občanská demokratická aliance,čssd,Sdružení nezávislých,Demokratická liga,Pravý Blok,Strana demokrat.socialismu,Romská občanská iniciativa ČR,voters,votes_ok,votes_all
2002,Vysočina,Žďár nad Sázavou,Tišnovská Nová Ves,0,0,1,12,1,,0,0,,,0,1,0,0,0,0,2,0,19,0,0,1,0,12,2,0,0,,,59,51,51
2002,Vysočina,Žďár nad Sázavou,Křižanov,5,0,148,154,39,,1,18,,,1,0,1,5,0,5,7,8,148,4,1,4,5,228,26,1,5,,,1283,814,814
2002,Vysočina,Žďár nad Sázavou,Tři Studně,0,0,7,8,0,,0,0,,,0,0,0,0,0,0,1,0,16,0,0,0,0,17,0,0,0,,,88,49,54
2002,Vysočina,Žďár nad Sázavou,Křižínkov,0,0,19,21,3,,0,2,,,0,0,1,0,0,0,3,3,24,1,0,0,1,33,4,0,0,,,156,115,115
2002,Vysočina,Žďár nad Sázavou,Ubušínek,1,0,4,4,6,,0,0,,,0,1,0,0,0,0,1,1,9,0,0,1,0,24,4,0,0,,,83,56,56
2002,Vysočina,Žďár nad Sázavou,Křoví,1,0,26,103,6,,0,1,,,0,0,0,5,0,1,3,5,48,1,0,0,0,83,2,0,0,,,401,285,287
2002,Vysočina,Žďár nad Sázavou,Uhřínov,0,0,10,19,6,,2,1,,,1,0,1,0,0,0,4,1,65,1,0,1,0,37,6,0,0,,,200,155,158
2002,Vysočina,Žďár nad Sázavou,Kuklík,0,0,14,27,2,,0,1,,,0,0,0,0,0,0,1,0,20,0,0,0,1,58,3,0,0,,,170,127,127
2002,Vysočina,Žďár nad Sázavou,Ujčov,0,0,20,65,5,,1,0,,,0,0,1,0,0,0,1,1,69,2,0,0,2,94,7,0,2,,,376,270,272
2002,Vysočina,Žďár nad Sázavou,Kundratice,1,0,11,20,9,,0,1,,,1,0,1,0,0,1,0,0,21,0,0,0,2,30,4,0,0,,,156,102,102
2002,Vysočina,Žďár nad Sázavou,Újezd,2,0,15,6,3,,0,1,,,0,0,0,0,0,0,1,1,49,0,0,0,0,36,2,0,0,,,180,116,116
