year,region,county,town,voters,votes_ok,votes_all
1996,Středočeský kraj,Beroun,Zdice,2885,2262,2276
1996,Středočeský kraj,Beroun,Žebrák,1446,1211,1218
1996,Středočeský kraj,Beroun,Železná,151,130,131
1996,Středočeský kraj,Kladno,Běleč,236,193,195
1996,Středočeský kraj,Kladno,Běloky,103,88,88
1996,Středočeský kraj,Kladno,Beřovice,198,165,166
1996,Středočeský kraj,Kladno,Bílichov,114,101,102
1996,Středočeský kraj,Kladno,Blevice,235,208,208
1996,Středočeský kraj,Kladno,Brandýsek,1253,958,963
1996,Středočeský kraj,Kladno,Braškov,638,545,549
1996,Středočeský kraj,Kladno,Bratronice,558,452,452
1996,Středočeský kraj,Kladno,Buštěhrad,1765,1398,1409
1996,Středočeský kraj,Kladno,Cvrčovice,461,354,355
1996,Středočeský kraj,Kladno,Černuc,689,578,586
1996,Středočeský kraj,Kladno,Doksy,851,734,737
1996,Středočeský kraj,Kladno,Dolany,137,120,122
1996,Středočeský kraj,Kladno,Drnek,142,123,123
1996,Středočeský kraj,Kladno,Družec,621,528,532
1996,Středočeský kraj,Kladno,Dřetovice,297,217,228
1996,Středočeský kraj,Kladno,Dřínov,193,166,167
1996,Středočeský kraj,Kladno,Hobšovice,225,166,172
1996,Středočeský kraj,Kladno,Horní Bezděkov,308,274,275
1996,Středočeský kraj,Kladno,Hořešovice,166,147,147
1996,Středočeský kraj,Kladno,Hořešovičky,94,88,88
1996,Středočeský kraj,Kladno,Hospozín,359,281,282
1996,Středočeský kraj,Kladno,Hostouň,723,592,598
1996,Středočeský kraj,Kladno,Hradečno,359,324,325
1996,Středočeský kraj,Kladno,Hrdlív,297,249,249
1996,Středočeský kraj,Kladno,Hřebeč,919,741,746
1996,Středočeský kraj,Kladno,Chržín,161,138,138
1996,Středočeský kraj,Kladno,Jarpice,192,145,145
1996,Středočeský kraj,Kladno,Jedomělice,262,227,230
1996,Středočeský kraj,Kladno,Jemníky,170,149,149
1996,Středočeský kraj,Kladno,Kačice,832,640,647
1996,Středočeský kraj,Kladno,Kamenné Žehrovice,1261,1026,1032
1996,Středočeský kraj,Kladno,Kamenný Most,285,241,242
1996,Středočeský kraj,Kladno,Kladno,54479,39161,39437
1996,Středočeský kraj,Kladno,Klobuky,699,540,541
1996,Středočeský kraj,Kladno,Kmetiněves,195,150,150
1996,Středočeský kraj,Kladno,Knovíz,393,320,323
1996,Středočeský kraj,Kladno,Koleč,404,321,323
1996,Středočeský kraj,Kladno,Královice,88,73,74
1996,Středočeský kraj,Kladno,Kutrovice,70,64,64
1996,Středočeský kraj,Kladno,Kvílice,66,65,66
1996,Středočeský kraj,Kladno,Kyšice,418,338,338
1996,Středočeský kraj,Kladno,Ledce,330,275,276
1996,Středočeský kraj,Kladno,Lhota,451,401,403
1996,Středočeský kraj,Kladno,Libochovičky,37,29,29
1996,Středočeský kraj,Kladno,Libovice,184,156,157
1996,Středočeský kraj,Kladno,Libušín,1887,1446,1452
1996,Středočeský kraj,Kladno,Lidice,374,312,313
1996,Středočeský kraj,Kladno,Líský,64,55,55
1996,Středočeský kraj,Kladno,Loucká,85,72,73
1996,Středočeský kraj,Kladno,Makotřasy,224,207,207
1996,Středočeský kraj,Kladno,Malé Kyšice,200,160,160
1996,Středočeský kraj,Kladno,Malé Přítočno,187,155,155
1996,Středočeský kraj,Kladno,Malíkovice,271,229,230
1996,Středočeský kraj,Kladno,Neprobylice,75,70,70
1996,Středočeský kraj,Kladno,Neuměřice,281,215,216
1996,Středočeský kraj,Kladno,Olovnice,341,294,298
1996,Středočeský kraj,Kladno,Otvovice,548,453,457
1996,Středočeský kraj,Kladno,Páleč,144,112,114
1996,Středočeský kraj,Kladno,Pavlov,90,74,75
1996,Středočeský kraj,Kladno,Pchery,1326,1042,1059
1996,Středočeský kraj,Kladno,Pletený Újezd,315,254,256
1996,Středočeský kraj,Kladno,Plchov,138,122,122
1996,Středočeský kraj,Kladno,Podlešín,306,206,206
1996,Středočeský kraj,Kladno,Poštovice,153,125,125
1996,Středočeský kraj,Kladno,Pozdeň,317,276,281
1996,Středočeský kraj,Kladno,Přelíc,245,194,195
1996,Středočeský kraj,Kladno,Řisuty,230,200,201
1996,Středočeský kraj,Kladno,Sazená,200,162,162
1996,Středočeský kraj,Kladno,Slaný,12109,8870,8913
1996,Středočeský kraj,Kladno,Slatina,328,289,292
1996,Středočeský kraj,Kladno,Smečno,1263,926,932
1996,Středočeský kraj,Kladno,Stehelčeves,361,273,276
1996,Středočeský kraj,Kladno,Stochov,4051,2865,2887
1996,Středočeský kraj,Kladno,Stradonice,90,74,74
1996,Středočeský kraj,Kladno,Studeněves,236,196,200
1996,Středočeský kraj,Kladno,Svárov,153,105,105
1996,Středočeský kraj,Kladno,Svinařov,465,407,408
1996,Středočeský kraj,Kladno,Šlapanice,156,127,127
1996,Středočeský kraj,Kladno,Třebichovice,370,296,297
1996,Středočeský kraj,Kladno,Třebíz,136,124,125
1996,Středočeský kraj,Kladno,Třebusice,330,274,274
1996,Středočeský kraj,Kladno,Tuchlovice,1602,1324,1330
